practiceName,address,city,state,zip,providerCount,specialties,phones,estimatedSize,isNamedPractice
72ND STREET DENTAL CARE PLLC,200 E 72ND ST,NEW YORK,NY,100214537,1,Dentist,121-274-4774,small,1
Practice at WEILL CORNELL INTERNAL MEDICINE ASSOCIATES,WEILL CORNELL INTERNAL MEDICINE ASSOCIATES,NEW YORK,NY,10021,4,Student in an Organized Health Care Education/Training Program,212-746-9663; 212-746-2900,small,
Practice at 42A E 74TH ST,42A E 74TH ST,NEW YORK,NY,100212735,1,Plastic Surgery,212-774-1828,small,
"Practice at 1305 YORK, 11TH FLOOR","1305 YORK, 11TH FLOOR",NEW YORK,NY,10021,1,Student in an Organized Health Care Education/Training Program,646-962-2020,small,
Practice at 505 EAST 70TH STREET,505 EAST 70TH STREET,NEW YORK,NY,10021,1,Student in an Organized Health Care Education/Training Program,212-746-2900,small,
Practice at 535 E 70TH ST,535 E 70TH ST,NEW YORK,NY,100214898,2,Student in an Organized Health Care Education/Training Program,646-797-8537; 212-606-1000,small,
Practice at 505 E 70TH ST,505 E 70TH ST,NEW YORK,NY,100214872,10,Student in an Organized Health Care Education/Training Program,212-746-2900; 212-746-9663,large,
Practice at 100 E 74TH ST,100 E 74TH ST,NEW YORK,NY,100213503,1,"Dermatology, Procedural Dermatology",212-772-3377,small,
Practice at 192 E 75TH ST,192 E 75TH ST,NEW YORK,NY,100213242,2,"Dentist, Pediatric Dentistry",212-570-2221,small,
Practice at 285 FORT WASHINGTON AVE,285 FORT WASHINGTON AVE,NEW YORK,NY,100321206,1,"Dentist, General Practice",212-795-9675,small,
Practice at 800A 5TH AVE,800A 5TH AVE,NEW YORK,NY,100217215,1,"Dentist, Periodontics",212-983-1227,small,
Practice at 30 E 76TH ST FL 5,30 E 76TH ST FL 5,NEW YORK,NY,100212700,1,"Dentist, General Practice",212-794-9600,small,
Practice at 525 E 68TH ST,525 E 68TH ST,NEW YORK,NY,100654870,4,Student in an Organized Health Care Education/Training Program,603-370-7977; 212-746-5454; 212-746-5380,small,
Practice at 910 5TH AVENUE,910 5TH AVENUE,NEW YORK,NY,10021,1,Dermatology,212-400-0999,small,
Practice at 1275 YORK AVE,1275 YORK AVE,NEW YORK,NY,100656007,3,Student in an Organized Health Care Education/Training Program; Dermatology,212-639-6733; 212-639-5809; 212-639-2000,small,
Practice at 1305 YORK AVE FL 11,1305 YORK AVE FL 11,NEW YORK,NY,100215663,1,Student in an Organized Health Care Education/Training Program,646-962-2020,small,
Practice at 525 E 68TH ST STE M-312,525 E 68TH ST STE M-312,NEW YORK,NY,100654870,1,Student in an Organized Health Care Education/Training Program,212-746-2941,small,
Practice at 1305 YORK AVE FL 9,1305 YORK AVE FL 9,NEW YORK,NY,100215663,1,Dermatology,646-962-3376,small,
Practice at 535 EAST 70TH STREET,535 EAST 70TH STREET,NEW YORK,NY,10021,1,Student in an Organized Health Care Education/Training Program,212-606-1631,small,
"ALAN F. BERDAN, D.M.D., P.C.",30 CENTRAL PARK SOUTH,NEW YORK,NY,100211628,1,"Clinic/Center, Dental",212-702-8675,small,1
Practice at 33 E 70TH ST,33 E 70TH ST,NEW YORK,NY,100214941,1,"Dermatology, MOHS-Micrographic Surgery",212-517-2121,small,
Practice at 100 E 77TH ST,100 E 77TH ST,NEW YORK,NY,100751850,19,Student in an Organized Health Care Education/Training Program,212-434-2000; 212-434-2150; 212-434-6262; 212-434-2140; 212-434-4763; 973-666-0234; 212-434-0123,large,
Practice at 111 E 210TH ST,111 E 210TH ST,BRONX,NY,104672401,1,Student in an Organized Health Care Education/Training Program,718-920-4321,small,
Practice at 525 EAST 68TH STREET,525 EAST 68TH STREET,NEW YORK,NY,10065,1,Student in an Organized Health Care Education/Training Program,646-962-8418,small,
Practice at 1330 1ST AVE,1330 1ST AVE,NEW YORK,NY,100214742,1,Student in an Organized Health Care Education/Training Program,631-377-0113,small,
"ALLCITY COSMETIC DENTAL CARE, PC",139 E 63RD ST,NEW YORK,NY,100657408,1,"Clinic/Center, Dental",212-688-1222,small,1
"120 EAST 56TH STREET, SUITE 800, MEDICAL OFFICE BASED SURGERY, P.C.",120 E 56TH ST,NEW YORK,NY,100223607,3,"Plastic Surgery; Dentist, General Practice",212-688-5955; 212-826-2322,small,1
141 DENTAL STUDIO PC,141 E 55TH ST,NEW YORK,NY,100224030,1,Dentist,212-262-2952,small,1
209 NYC DENTAL LLP,209 E 56TH ST,NEW YORK,NY,100223705,1,"Dentist, General Practice",212-355-2290,small,1
"21ST CENTURY DERMATOLOGY, P.L.L.C.",133 E 58TH ST,NEW YORK,NY,100221236,1,Dermatology,212-644-4440,small,1
515OMS LLC,"515 MADISON AVENUE, 28TH FLOOR",NEW YORK,NY,10022,1,"Dentist, Oral and Maxillofacial Surgery",212-765-5001,small,1
"ALLIANCE DENTAL ARTS, P.C.",18 E 50TH ST,NEW YORK,NY,100226817,4,"Dentist, General Practice; Dentist, Prosthodontics; Dentist, Oral and Maxillofacial Surgery",212-688-6010; 212-688-6080; 212-752-1252; 212-751-0001,small,1
"A.L. DEL VALLE, P.C.",135 E 50TH ST,NEW YORK,NY,100227504,1,"Clinic/Center, Oral and Maxillofacial Surgery",917-450-6531,small,1
Practice at 305 E 55TH ST,305 E 55TH ST,NEW YORK,NY,100224148,1,"Dentist, General Practice",212-688-7722,small,
Practice at 13330 USF LAUREL DR,13330 USF LAUREL DR,TAMPA,FL,336126601,1,"Otolaryngology, Plastic Surgery within the Head & Neck",813-821-8038,small,
Practice at 501 MADISON AVE FL 18,501 MADISON AVE FL 18,NEW YORK,NY,100225613,1,Oral & Maxillofacial Surgery,212-308-9200,small,
Practice at 30 E 60TH ST STE 1101,30 E 60TH ST STE 1101,NEW YORK,NY,100221139,1,"Dentist, General Practice",212-262-2952,small,
Practice at 200 E 57TH ST,200 E 57TH ST,NEW YORK,NY,100222860,1,"Dentist, Oral and Maxillofacial Surgery",212-754-4072,small,
ADA S COOPER DDS PC,417 PARK AVENUE,NEW YORK,NY,10022,1,Dentist,212-838-2760,small,1
ADVANCED DENTAL AESTHETICS NY,30 E 60TH ST,NEW YORK,NY,100221008,2,"Dentist; Dentist, Pediatric Dentistry",212-421-8180; 212-421-5781,small,1
ADVANCED DENTAL ARTS PC,686 LEXINGTON AVE FL 5N,NEW YORK,NY,100222670,1,Dentist,212-230-1226,small,1
"AESTHETIC CREATIONS DENTAL, P.L.L.C.",509 MADISON AVE,NEW YORK,NY,100225501,1,"Dentist, Prosthodontics",212-688-0103,small,1
Practice at 209 E 56TH ST FRNT 1,209 E 56TH ST FRNT 1,NEW YORK,NY,100223705,1,"Dentist, Endodontics",212-355-2290,small,
AHUJA DENTAL NYC PC,30 E 60TH ST RM 401,NEW YORK,NY,100221035,1,Dentist,212-537-3894,small,1
Practice at 111 EAST 210 STREET,111 EAST 210 STREET,BRONX,NY,10467,1,Student in an Organized Health Care Education/Training Program,718-920-6033,small,
Practice at 693 5TH AVE FL 14,693 5TH AVE FL 14,NEW YORK,NY,100223161,1,"Dentist, General Practice",212-319-6363,small,
Practice at 530 EAST 73RD STREET,530 EAST 73RD STREET,NEW YORK,NY,10022,1,Dermatology,703-896-8004,small,
Practice at 259 1ST ST,259 1ST ST,MINEOLA,NY,115013957,3,Student in an Organized Health Care Education/Training Program,516-663-0333; 516-663-8794,small,
Practice at 1275 YORK AVE # MRI1007,1275 YORK AVE # MRI1007,NEW YORK,NY,100656007,1,Plastic Surgery,212-639-6131,small,
Practice at 16 E 52ND ST STE 401,16 E 52ND ST STE 401,NEW YORK,NY,100225306,1,"Dentist, General Practice",212-393-4650,small,
ALTER FAMILY INC,3000 OCEAN PKWY,BROOKLYN,NY,112358367,1,Plastic Surgery,718-710-0040,small,1
Practice at 501 MADISON AVE,501 MADISON AVE,NEW YORK,NY,100225602,1,"Dentist, General Practice",212-688-2820,small,
Practice at 130 EAST 77TH STREET,130 EAST 77TH STREET,NEW YORK,NY,10075,3,Student in an Organized Health Care Education/Training Program,212-434-2686; 908-878-8663,small,
"AMY ROSE MD, PLLC",445 E 58TH ST,NEW YORK,NY,100222384,1,Dermatology,212-838-0270,small,1
ANALYTICAL DENTAL PC,1110 2ND AVE STE 306,NEW YORK,NY,100222021,1,"Dentist, Periodontics",212-583-1110,small,1
ANAT LEBOW MD PLLC,635 MADISON AVE,NEW YORK,NY,100221009,1,Dermatology,212-753-1040,small,1
