"npi","organizationName","doingBusinessAs","authorizedOfficial","authorizedOfficialTitle","address1","address2","city","state","zip","phone","fax","confidenceScore","confidenceLevel","primaryCategory","detectedServices","providerTypes","taxonomyCodes","isChain","lastUpdated","status"
"1336147347","AESTHETIC CENTER OF WEST FLORIDA LLC","","STEPHEN WEINSTOCK","Owner/President","1295 W BAY DR","","LARGO","FL","337702203","727-450-3032","",50,"Medium","Possible Medical Spa","","Plastic Surgery; Ophthalmology","208200000X; 207W00000X","Unknown","2022-07-21","A"
"1376165159","MEDSPA SOLUTIONS, LLC","","SUSAN MARVIN","CFO","1810 ERIE BLVD E","","SYRACUSE","NY","132101230","315-552-1050","",30,"Low","Aesthetic Practice","","Clinic/Center, Medical Specialty","261QM2500X","Unknown","2020-05-14","A"
"1306960810","MEDI SPACE DRUGS","","ERIC TENG","OWNER","4139 MAIN ST","","FLUSHING","NY","113553132","718-961-3373","718-961-3311",30,"Low","Aesthetic Practice","","Pharmacy, Community/Retail Pharmacy","3336C0003X","Unknown","2007-12-31","A"
"1962883900","MEDISPA ONE NY PLAZA LLC","","RICHARD SANSARICQ","Managing Member/CEO","1 NEW YORK PLZ","CONCOURSE LEVEL, WHITEHALL STREET","NEW YORK","NY","100041901","646-918-6883","646-737-6883",30,"Low","Aesthetic Practice","","Clinic/Center, Physical Therapy","261QP2000X","Unknown","2016-11-01","A"
"1003108663","MEDI-SPACE PHARMA INC","","HILTON CHEUNG","PRESIDENT","4139 MAIN ST","","FLUSHING","NY","113553132","718-961-3373","718-961-3311",30,"Low","Aesthetic Practice","","Pharmacy","333600000X","Unknown","2016-06-06","A"
"1548021314","MEDSPA & PRIMARY CARE LLC","","AHITZA CARRAZANA ESTRADA","APRN","825 E COWBOY WAY STE 106","","LABELLE","FL","339354491","863-230-8163","863-230-8273",30,"Low","Aesthetic Practice","","Clinic/Center, Health Services","261QH0100X","Unknown","2024-03-27","A"
"1477995975","MED SPA & REHABILITATION CENTER","","DANIEL RONCHETTA","PRESIDENT","4800 W FLAGLER ST","SUITE 103","CORAL GABLES","FL","331341446","305-443-1172","305-442-2816",30,"Low","Aesthetic Practice","","Clinic/Center, Primary Care","261QP2300X","Unknown","2013-07-24","A"
"1235578899","MED SPA & REHABILITATION CENTER CORP","","DANIEL RONCHETTA","PRESIDENT/OWNER","4800 W FLAGLER ST","103","CORAL GABLES","FL","331341446","305-443-1172","305-442-2816",30,"Low","Aesthetic Practice","","Clinic/Center","261Q00000X","Unknown","2013-06-17","A"
"1942949086","MEDICAL SPA AND PRIMARY CARE OF OCALA","","ELIZABETH BURGOS","Assistant Administrator","1813 SW 1ST AVE","","OCALA","FL","344718167","352-732-7188","352-355-2132",30,"Low","Aesthetic Practice","","Clinic/Center, Primary Care; Family Medicine","261QP2300X; 207Q00000X","Unknown","2022-06-14","A"
"1346567054","MED-SPA SOLTION INC","","YAIMA CHIRINO","PRESIDENT","5511 SW 8TH ST STE 202","","CORAL GABLES","FL","331342272","305-456-6574","305-456-0415",30,"Low","Aesthetic Practice","","Occupational Therapist, Physical Rehabilitation","225XP0019X","Unknown","2010-04-21","A"
"1619746799","MEDICAL AESTHETICS OF FLORIDA","","MEENA DEMETRIOS","President","155 FOUNTAINS WAY STE 11","","SAINT JOHNS","FL","322591144","904-561-1772","",30,"Low","Aesthetic Practice","","Clinic/Center","261Q00000X","Unknown","2023-12-29","A"
"1164078424","LASER CENTER OF BROOKLYN","","CONNIE BALSAMO","Manager","5911 16TH AVE","","BROOKLYN","NY","112042114","718-234-6200","718-234-6210",20,"Low","Aesthetic Practice","","Chiropractor","111N00000X","Unknown","2019-08-13","A"
"1689838047","COSMETIC CLINIC DERMATOLOGY","","MARK LEBWOHL","CHAIRMAN","5 E 98TH ST FL 5","","NEW YORK","NY","100296501","212-241-3050","212-987-1197",20,"Low","Aesthetic Practice","","General Acute Care Hospital","282N00000X","Unknown","2008-07-15","A"
"1366701823","WELLNESS CENTER FOR SLEEP & DIAGNOSTICS INC","","ERIC HANNA","PRESIDENT","8403 CUTHBERT RD","APT 1A","KEW GARDENS","NY","114152140","917-957-4489","718-441-0554",20,"Low","Aesthetic Practice","","Clinic/Center, Sleep Disorder Diagnostic","261QS1200X","Unknown","2012-05-03","A"
"1972739415","WELLNESS CENTER PHARMACY INC","","MARWA KHALIFA","Supervising Pharmacist","4013 BROADWAY","","ASTORIA","NY","111034082","718-956-0060","718-956-0065",20,"Low","Aesthetic Practice","","Pharmacy, Community/Retail Pharmacy","3336C0003X","Unknown","2015-05-04","A"
"1629344916","WELLNESS CENTER PSYCHOLOGIST ADRIANA L GONZALEZ PHD PLLC","","ADRIANA GONZALEZ","Psychologist","2415 21ST AVE","APARTMENT 2C","ASTORIA","NY","111053344","917-596-0076","",20,"Low","Aesthetic Practice","","Clinic/Center, Mental Health (Including Community Mental Health Center)","261QM0801X","Unknown","2012-03-30","A"
"1912139965","WELLNESS CENTERS OF THE HUDSON VALLEY","","ROBERT MARTIN","President","25 ULSTER AVE","","SAUGERTIES","NY","124771212","845-246-3642","845-246-1612",20,"Low","Aesthetic Practice","","Clinic/Center, Multi-Specialty","261QM1300X","Unknown","2009-08-10","A"
"1104877729","AESTHETIC CENTER FOR COSMETIC & RECONSTRUCTIVE SURGERY, LLP","","JAMES ROGERS","Partner","3320 SW 34TH CIR","","OCALA","FL","344743371","352-629-8154","352-629-5231",20,"Low","Aesthetic Practice","","Plastic Surgery, Surgery of the Hand; Surgery, Plastic and Reconstructive Surgery","2082S0105X; 2086S0122X","Unknown","2015-01-22","A"
"1194711978","REJUVENATION CENTER LLC","","THOMAS NEWSOM","Manager","4211 US HIGHWAY 27 N","","SEBRING","FL","33870","863-382-7588","863-385-1233",20,"Low","Aesthetic Practice","","Surgery, Plastic and Reconstructive Surgery","2086S0122X","Unknown","2020-10-21","A"
