"businessName","city","state","address","phone","servicesDetected","confidenceScore","isVerifiedMedSpa","isChain","fullTitle","url","searchType","source","collectedDate"
"Luxury Medspa NYC & Miami","New York","NY","","","Aesthetic Services",100,true,false,"Luxury Medspa NYC & Miami | Advanced Skin & Body Treatments","https://skinneymedspa.com/","general_search","Web Search","2025-06-05T00:17:31.234Z"
"Aesthetic Services & Medical Spa in NYC","New York","NY","","","Aesthetic Services",100,true,false,"Aesthetic Services & Medical Spa in NYC | Perfect Med Spa","https://www.perfectmedspa.com/","general_search","Web Search","2025-06-05T00:17:31.235Z"
"Botox Specials & Deals in NYC & Long Island","New York","NY","","","Botox/Neurotoxins; Dermal Fillers; Laser Treatments; Hair Removal",100,true,false,"Botox Specials & Deals in NYC & Long Island - Trifecta Med Spa","https://trifectamedspanyc.com/","general_search","Web Search","2025-06-05T00:17:31.235Z"
"LaserAway","Manhattan","NY","150 E 56th St","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"LaserAway - Manhattan","https://www.laseraway.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"LaserAway","Brooklyn","NY","445 Albee Square W","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"LaserAway - Brooklyn","https://www.laseraway.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"LaserAway","Miami Beach","FL","1111 Lincoln Rd","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"LaserAway - Miami Beach","https://www.laseraway.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"LaserAway","Aventura","FL","19501 Biscayne Blvd","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"LaserAway - Aventura","https://www.laseraway.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ideal Image","New York","NY","57 W 57th St","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ideal Image - New York","https://www.idealimage.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ideal Image","Long Island","NY","1979 Marcus Ave","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ideal Image - Long Island","https://www.idealimage.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ideal Image","Miami","FL","7535 N Kendall Dr","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ideal Image - Miami","https://www.idealimage.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ideal Image","Fort Lauderdale","FL","2821 E Oakland Park Blvd","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ideal Image - Fort Lauderdale","https://www.idealimage.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"SEV Laser","Manhattan","NY","Multiple locations","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"SEV Laser - Manhattan","https://www.sevlaser.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"SEV Laser","Brooklyn","NY","Multiple locations","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"SEV Laser - Brooklyn","https://www.sevlaser.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ever/Body","New York","NY","395 Broadway","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ever/Body - New York","https://www.ever/body.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Ever/Body","New York","NY","928 Broadway","","Laser Treatments; Hair Removal; Body Contouring; Skin Rejuvenation",100,true,true,"Ever/Body - New York","https://www.ever/body.com","known_chain","Known Chain","2025-06-05T00:17:31.235Z"
"Medical Spa New York NY","New York","NY","","","Aesthetic Services",90,true,false,"Medical Spa New York NY - Skin Care Specialist | Manhattan Medspa","https://www.manhattan-medspa.com/","general_search","Web Search","2025-06-05T00:17:31.233Z"
"Medical Spa in New York, NY","New York","NY","","","Anti-Aging",90,true,false,"Medical Spa in New York, NY | Skin Care Clinic | Tribeca MedSpa","https://www.tribecamedspa.com/","general_search","Web Search","2025-06-05T00:17:31.234Z"
"NY","New York","NY","","(212) 433-8535","Aesthetic Services",90,true,false,"NY Med Spa – Medspa In New York City","https://nycmedspa.nyc/","general_search","Web Search","2025-06-05T00:17:31.235Z"
"Medspa of New York","New York","NY","","(929) 615 9762","Anti-Aging",90,true,false,"Medspa of New York | Medical Spa in New York","https://medspaofnewyork.com/","general_search","Web Search","2025-06-05T00:17:31.235Z"
"Med Spa NYC","New York","NY","","","Aesthetic Services",90,true,false,"Med Spa NYC - SkinTight MedSpa - Best Med Spa in Manhattan","https://www.skintightmedspa.com/","general_search","Web Search","2025-06-05T00:17:31.235Z"
